species,coeff1,coeff2,coeff3,coeff4,coeff5
HCN,6.02063E+05,-3.08724E+05,6.00139E+01,1.66592E-04,-1.13252E-08
HCO,6.07224E+05,-2.77376E+05,5.66759E+01,4.80619E-04,-2.82627E-08
NCO,3.22530E+05,-3.08692E+05,6.20446E+01,5.46329E-05,0.00000E+00
CO2,5.34072E+05,-3.88536E+05,6.95497E+01,0.00000E+00,0.00000E+00
COS,3.84946E+05,-3.33394E+05,6.59981E+01,-6.67359E-05,0.00000E+00
Cs,2.41613E+05,-2.78285E+05,6.52867E+01,-1.07214E-04,0.00000E+00
Si2C,2.34924B+05,-2.60546B+05,6.29047E+01,2.75378E-04,-3.64630E-08
CaCl2,2.75428E+05,-2.15484B+05,4.91645E+01,-4.41153B-04,7.178535-08
CaF2,3.59500E+05,-2.70725E+05,5.10997E+01,-1.96516E-04,6.15049E-08
CaOH,4.81970E+05,-2.04396B+05,5.14480E+01,-1.90986E-04,4.94457B-08
FeCl2,2.31158E+05,-1.93215BE+05,5.39960B+01,-2.58974E-04,3.49128B5-08
MgCl2,2.24867B+05,-1.88677E+05,5.03953E+01,-6.12749E-05,1.16459B-08
SrCl2,3.82681E+05,-2.13043E+05,4.62372E+01,-2.59593E-04,7.99209E-08
TiCl2,-3.16823E+05,-2.26943E+05,5.54141E+01,6.60033E-04,-3.68589E-08
ZrCl2,2.11630E+06,-2.59055E+05,6.31875E+01,-1.62636B-03,1.34117B5-07
CrO2,1.63667E+05,-2.33846E+05,5.71937E+01,4.71718E-04,1.12343E-08
FeF2,-2.22466E+03,-2.30776E+05,5.73627E+01,-2.39486E-04,3.74619E-08
MgF2,3.11060E+05,-2.49116E+05,5.34897E+01,2.00443E-04,0.00000E+00
SrF2,3.40709E+05,-2.62597E+05,4.90801E+01,-3.16449B-04,8.39295E-08
TiF2,-3.40935E+05,-3.14461E+05,5.80688E+01,6.06642E-04,-3.31096B-08
ZrF2,2.21169E+06,-3.28502E+05,6.35433E+01,-1.37843E-03,1.23594B-07
TiOF,-8.28389E+05,-2.91571E+05,5.73306E+01,1.53389E-03,-9.27696E-08
NH2,8.79993E+05,-1.77983E+05,5.28632E+01,6.37403E-04,-4.63748E-08
H2O,8.66184E+05,-2.27857B+05,5.61473E+01,7.62548E-04,-4.95254E-08
PH2,5.75972E+05,-1.58572E+05,4.95029E+01,5.02064E-04,-1.46743E-08
H2S,7.41911E+05,-1.81063E+05,5.35114E+01,4.94594E-04,-3.39231E-08
SiH2,2.46640E+01,-6.88730E+00,8.37100E-02,-1.00580E-02,4.92910E-04
KOH,6.10635E+05,-1.92537E+05,5.26452E+01,-3.87715E-04,6.44699E-08
MgOH,4.47672E+05,-1.89626E+05,5.17801E+01,1.15404E-04,3.34857E-10
HNO,6.24780E+05,=2.05700E+05,5.64594E+01,4.64490E-04,-2.07625E-08
NaOH,4.58004E+05,-1.87821E+05,5.202718+01,-7.30966E-06,1.43238E-08
SrOH,4.7364YE+05,-2.03502E+05,5.11270E+01,-3.04750E-04,6.93937E-08
N2O,4.31224E+05,-2.69421E+05,6.44178E+01,1.28733E-05,7.77099E-09
NO2,4.70857B+05,-2.28020E+05,6.18243E+01,3.24505E-04,-9.54732E-09
SO2,4.16261B+05,-2.59787E+05,6.30161E+01,2.30250E-04,-1.21022E-08
ScO2,2.69090E+01,-1.58240E+01,3.99990E-01,-5.93630E-02,3.08750E-03
SiO2,2.61948E+05,-3.02036E+05,6.59588E+01,1.07405E-04,0.00000E+00
TiO2,-3.32351E+05,-3.04694E+05,5.86984E+01,1.17096E-03,-5.06729E-08
VO2,3.56520E+05,-3.01059E+05,6.17016E+01,4.49857E-04,0.00000E+00
YO2,2.67640E+01,-1.64470E+01,3.99910E-01,-5.89160E-02,3.05060E-03
ZrO2,1.41520E+06,-3.41182E+05,6.34923E+01,-2.26610E-04,5.01976E-08
Al2O2,3.06232E+04,-3.72087E+05,9.07532E+01,5.11736B-05,0.00000E+00
AlCl3,2.87548E+05,-3.07771E+05,8.58102E+01,1.00552E-04,-5.97208E-09
AlF3,3.24054E+05,-4.27191E+05,9.14090B+01,-2.46342E-05,0.00000E+00
AlO2H,9.94834E+05,-3.66363E+05,9.09265E+01,1.03148E-04,-8.91785E-09
